Time :1390156017 | POS x : 0.909966 | POS y : 0.417871 | State : 1 |
Time :1390156018 | POS x : 1.56308 | POS y : 3.17725 | State : 1 |
Time :1390156018 | POS x : 0.751127 | POS y : 3.76058 | State : 1 |
Time :1390156018 | POS x : 0.515198 | POS y : 4.73311 | State : 1 |
Time :1390156018 | POS x : -0.315628 | POS y : 4.17907 | State : 1 |
Time :1390156019 | POS x : -0.847837 | POS y : 3.33409 | State : 1 |
Time :1390156019 | POS x : -0.799244 | POS y : 2.33622 | State : 1 |
Time :1390156019 | POS x : 0.100813 | POS y : 1.89939 | State : 1 |
Time :1390156019 | POS x : 1.09649 | POS y : 1.79739 | State : 1 |
Time :1390156020 | POS x : 1.20434 | POS y : 1.84796 | State : 1 |
Time :1390156020 | POS x : 0.948686 | POS y : 1.2007 | State : 1 |
Time :1390156020 | POS x : 1.57379 | POS y : 1.98304 | State : 1 |
Time :1390156020 | POS x : 1.81636 | POS y : 2.95443 | State : 1 |
Time :1390156021 | POS x : 1.59326 | POS y : 3.92999 | State : 1 |
Time :1390156021 | POS x : 0.594367 | POS y : 3.94577 | State : 1 |
Time :1390156021 | POS x : -0.404029 | POS y : 3.98154 | State : 1 |
Time :1390156021 | POS x : -1.00504 | POS y : 4.78103 | State : 1 |
Time :1390156021 | POS x : -1.93076 | POS y : 4.40627 | State : 1 |
Time :1390156022 | POS x : -2.88062 | POS y : 4.71687 | State : 1 |
Time :1390156022 | POS x : -3.8786 | POS y : 4.67267 | State : 1 |
Time :1390156022 | POS x : -4.84768 | POS y : 4.43089 | State : 1 |
Time :1390156022 | POS x : -5.78783 | POS y : 4.76988 | State : 1 |
Time :1390156022 | POS x : -6.05893 | POS y : 3.80861 | State : 1 |
Time :1390156023 | POS x : -5.37306 | POS y : 3.08095 | State : 1 |
Time :1390156023 | POS x : -4.48803 | POS y : 2.61453 | State : 1 |
Time :1390156023 | POS x : -4.30095 | POS y : 3.59806 | State : 1 |
Time :1390156023 | POS x : -4.73746 | POS y : 4.49827 | State : 1 |
Time :1390156023 | POS x : -5.65673 | POS y : 4.10798 | State : 1 |
Time :1390156024 | POS x : -5.15778 | POS y : 3.24178 | State : 1 |
Time :1390156024 | POS x : -4.1984 | POS y : 2.95725 | State : 1 |
Time :1390156024 | POS x : -3.35039 | POS y : 3.48981 | State : 1 |
