Time :1390156017 | POS x : 0.711914 | POS y : -0.702279 | State : 1 |
Time :1390156018 | POS x : 2.5626 | POS y : -1.02418 | State : 1 |
Time :1390156018 | POS x : 3.5604 | POS y : -1.10309 | State : 1 |
Time :1390156019 | POS x : 3.42264 | POS y : -0.111767 | State : 1 |
Time :1390156019 | POS x : 3.25525 | POS y : 0.874952 | State : 1 |
Time :1390156019 | POS x : 1.88136 | POS y : 1.48811 | State : 1 |
Time :1390156020 | POS x : 2.13354 | POS y : 1.82824 | State : 1 |
Time :1390156020 | POS x : 2.35681 | POS y : 1.34878 | State : 1 |
Time :1390156020 | POS x : 2.23573 | POS y : 0.357256 | State : 1 |
Time :1390156020 | POS x : 3.22446 | POS y : 0.514429 | State : 1 |
Time :1390156021 | POS x : 3.37883 | POS y : 1.5036 | State : 1 |
Time :1390156021 | POS x : 2.38436 | POS y : 1.40952 | State : 1 |
Time :1390156021 | POS x : 3.46334 | POS y : 1.71797 | State : 1 |
Time :1390156021 | POS x : 4.45404 | POS y : 1.86211 | State : 1 |
Time :1390156022 | POS x : 5.15817 | POS y : 2.57333 | State : 1 |
Time :1390156022 | POS x : 4.38663 | POS y : 3.2093 | State : 1 |
Time :1390156022 | POS x : 4.11247 | POS y : 2.2489 | State : 1 |
Time :1390156022 | POS x : 5.1122 | POS y : 2.30033 | State : 1 |
Time :1390156023 | POS x : 5.75375 | POS y : 3.70493 | State : 1 |
Time :1390156023 | POS x : 4.54151 | POS y : 4.31129 | State : 1 |
Time :1390156023 | POS x : 3.8834 | POS y : 5.06433 | State : 1 |
Time :1390156024 | POS x : 2.93241 | POS y : 5.37148 | State : 1 |
Time :1390156024 | POS x : 2.56999 | POS y : 4.44086 | State : 1 |
Time :1390156024 | POS x : 3.44725 | POS y : 3.96003 | State : 1 |
Time :1390156024 | POS x : 4.00047 | POS y : 4.23943 | State : 1 |
Time :1390156025 | POS x : 4.46738 | POS y : 4.04839 | State : 1 |
Time :1390156025 | POS x : 4.52189 | POS y : 5.04796 | State : 1 |
Time :1390156025 | POS x : 3.5306 | POS y : 5.17297 | State : 1 |
Time :1390156025 | POS x : 3.65615 | POS y : 4.18176 | State : 1 |
Time :1390156026 | POS x : 4.55936 | POS y : 3.75146 | State : 1 |
Time :1390156026 | POS x : 4.73434 | POS y : 2.76771 | State : 1 |
Time :1390156026 | POS x : 4.47331 | POS y : 1.80366 | State : 1 |
Time :1390156026 | POS x : 3.53346 | POS y : 1.46583 | State : 1 |
Time :1390156026 | POS x : 4.04419 | POS y : 0.606497 | State : 1 |
Time :1390156027 | POS x : 3.93031 | POS y : -0.385883 | State : 1 |
Time :1390156027 | POS x : 3.8862 | POS y : -1.38387 | State : 1 |
Time :1390156027 | POS x : 4.8595 | POS y : -1.61661 | State : 1 |
Time :1390156027 | POS x : 5.84837 | POS y : -1.7709 | State : 1 |
Time :1390156027 | POS x : 6.76002 | POS y : -2.18307 | State : 1 |
